あ,さあ,は
ああ,サービス,パーテイー
よかった,さいきん,パーテイールーム
いけない,さイズ,はい
あいさつ,さいふ,ばい
アイスクリーム,ざいりょう,ハイキング
あいだ,サウジアラビア,はいけんします
あいて,さがします,はいしゃ
あいます,さかな,はいります
あお,さがります,はがき
あおい,さきに,はかります
あか,さきます,はきます
あかい,さくひん,はこ
あかちゃん,さくぶん,はこびます
あがります,さくら,はさみ
あかるい,さけ,はし
あき,さげます,はじまります
あきます,さします,はじめ
あきらめます,さしみ,はじめて
あけます,さそいます,はじめに
あげます,さっき,はじめまして
あさ,ざっし,はじめます
あさごはん,さとう,ばしょ
あさって,さどう,はしります
あし,さびしい,バス
あじ,さっきょく,はずかしい
あした,さま,はずします
あそこ,さむい,バスてい
あそびます,さようなら,パスポート
あたたかい,さら,はずれます
あたま,さらいげつ,パソコン
あたらしい,さらいしゅう,はたらきます
あちら,さらいねん,はつおん
あつい,さる,はつか
あっち,さわぎます,はっきり
あつまります,サワジアラピア,ばっきん
あつめます,さわります,はっけんします
あと,さん,はっぴょう
あとで,さんかします,はっぴょうかい
あなた,ざんぎょうします,はつめいします
あに,さんせい,パトカー
アニメ,サンドイッチ,はな
あね,ざんねんです,はなし
あの,さんぽします,はなします
あのう,じ,はなび
あのかた,しあい,はなみ
あのひと,しあわせ,はは
アパート,シーディー,はやい
あびます,しお,はやく
あぶない,しか,はらいます
アフリカ,しかし,パリ
あまい,しかります,はります
あまり,じかん,はる
あみだな,しき,はれます
あめ,しけん,はん
アメリカ,じこ,ばん
あらいます,じこくひょう,パン
ありがとうございました,しごと,ハンカチ
ありがとう,じしょ,ばんぐみ
あります,じしん,はんこ
ある,しずか,ばんごう
あるいて,しぜん,バンコク
あるきます,した,ばんごはん
アルバイト,したぎ,ハンサム
アルバム,じっけん,はんたい
あれ,じつは,パンダ
あれ？,しっぱいします,パンチ
あんしょうばんごう,しつもん,はんとし
あんしんします,しつもんします,バントン
あんぜん,しつれいいたします,パンフレット
あんな,しつれいします,はんぶん
あんないします,しつれいですが,ひ
あんなに,していらっしゃいます,ピアノ
い,してん,ビール
いい,じてんしゃ,ひがし
いいえ,じどうしゃ,ひきだし
けっこうです,じどうはんばいき,ひきます
まだまだです,しなもの,ひくい
いいえわかりません,しにます,ひこうき
いいてんきですね,しばらく,ビザ
いいことですね,じぶん,ひさしぶりですね
いいです,じぶんで,びじゅつ
いいですね,しま,びじゅつかん
いいですよ,しまいます,ひじょうぐち
いいます,します,ひだり
いえ,しまります,びっくりします
いか,じむしょ,ひっこし
いかがですか,しめきり,ひつよう
いがく,しめます,ビデオ
いきます,じゃ,ひと
いくつ,シャープペンシル,ひどい
いくら,しゃいん,ひとこと
イギリス,しゃかい,ひとつ
いけ,ジャカルタ,ひとり
いけばな,しやくしょ,ひとりで
いけん,しゃしん,ひま
いしゃ,ジャズ,ひも
いじょう,しゃちょう,ひゃく
いじょうです,シャツ,ひゃくじゅうきゅうばん
いす,じゃまた,ひゃくとおばん
いず,じゃま,ひやします
いそがしい,シャワー,びょういん
いそぎます,シャンハイ,びよういん
いたいです,シャンプー,びょうき
いたします,じゅう,ひらがな
いただきます,しゅうかん,ひらきます
イタリア,じゅうしょ,ひる
いちど,じゅうどう,ビル
いちども,じゆうに,ひるごはん
いちばん,じゅうぶん,ひるま
いちばんした,しゅうまつ,ひるやすみ
いつ,じゅうよっか,ひろい
いつか,しゅうりします,ひろいます
いっしょうけんめい,じゅぎょう,びん
いっしょに,じゅく,ファイル
いっしょにいかがですか,しゅくだい,ふうとう
いつつ,しゅしょう,プール
いってきます,じゅしょうします,ふえます
いつでも,しゅじん,ふきます
いってらっしゃい,しゅっせきします,ふく
いつも,しゅっちょうします,ふくざつ
いなか,しゅっぱつします,ふくしゅうします
いぬ,しゅみ,ふくろ
いま,じゅんび,ふた
いまいいですか,しょうかいします,ふたつ
います,しょうがつ,ふたり
いまにも,しょうがっこう,ぶちょう
いまのでんしゃ,しょうきん,ふつう
いみ,しようきんし,ふつか
いもうと,おまちください,ぶっか
いもうとさん,じょうず,ぶつかります
いや,じょうずに,ふとい
いらっしゃい,しょうせつ,ふとります
いらっしゃいます,しょうせつか,ふとん
いらっしゃいませ,しょうたいします,ふなびん
いりぐち,しようちゅう,ふね
いります,じょうぶ,ふべん
いれます,じょうほう,ふみます
いろ,しょうゆ,ふゆ
いろいろ,しょうらい,ブラジル
おせわになりました,ショート,フランケン
インスタントラーメン,ジョギング,フランス
インターネット,しょくじします,ふります
インド,しょくどう,ふるい
インドネシア,じょこう,プレゼント
インフルエンザ,しょるい,ふろ
ううん,しらせます,ふろしき
うーん,しらべます,フロント
うえ,しりあいます,ぶんか
うえます,しります,ぶんがく
うかがいます,しりょう,ぶんぽう
うけつけ,しろ,へいじつ
うけます,しろい,へいわ
うごきます,じん,へえ
うしろ,シンガポール,ペキン
うすい,しんかんせん,へた
うそ,シングル,ベッド
うた,しんごう,ペット
うたいます,じんこう,べつべつに
うち,しんごうをみぎへまがってください,へや
うちゅう,しんじます,ベラクルス
うつくしい,じんじゃ,へります
うま,しんせつ,ベルリン
うまい,しんせつにします,へん
うまくいきます,しんねんかい,べん
うまれます,しんぱいします,べんきょう
うみ,しんぱい,べんきょうします
うめ,しんぶん,べんごし
うら,ず,へんじ
うりば,すいえい,べんとう
うります,スイス,べんり
うるさい,スイッチ,ぼうし
うれしい,すいどう,ほうそう
うれます,すいはんき,ぼうねんかい
うわぎ,ずいぶん,ほうほう
うん,すいます,ほうりつ
うんてんします,すいようび,ボーナス
うんどうかい,スーツ,ホームステイ
うんどうします,スーパー,ボール
え,スキー,ボールペン
エアコン,すき,ほかに
エアメール,すきます,ほかの
えいが,すぎます,ぼく
えいぎょう,すきやき,ぼくじょう
えいご,すぐ,ポケット
ええ,すくない,ほけんしょう
エーティーエム,スケジュール,ほし
えき,すごい,ほしい
えきいん,すごいですね,ぼしゅうちゅう
えきまえ,すこし,ほしょうしょ
えさ,すごします,ポスター
えだ,すし,ポスト
えっ,すずしい,ほそい
えはがき,スタート,ボタン
えほん,ずつ,ホッチキス
えらい,ずっと,ホテル
えらびます,すてきですね,ほど
エンジン,すてき,ほとんど
えんぴつ,すてます,ほめます
えんりょなく,ストレス,ボランテイア
おいくつ,すばらしい,ポルトガル
おいしい,スピーチ,ほん
おいそがしいですか,すべります,ぼんおどり
おいのり,スペイン,ホンコン
おいわい,ズボン,ほんしゃ
おうえんします,すみ,ほんだな
おおい,すみます,ほんとう
おおきい,すみません,ほんとうですか
おおきさ,すもう,ほんとうに
おおきな,すわります,ほんもの
オーストラリア,せ,ほんやくします
おおぜい,せい,マーク
おかあさん,せいかつ,まいあさ
おかえりなさい,せいかつします,まいしゅう
おかげさまで,せいこうします,まいつき
おかし,せいじ,まいとし
おかしい,せいせき,まいにち
おおくの,せいと,まいばん
おおさかじょう,せいひん,まいります
おおさかじょうこうえん,せいりします,まえ
おかず,セーター,まがります
おかね,せかい,まけます
おきば,せかいいさん,まご
おきます,せかいじゅう,まじめ
おきゃくさま,せき,まず
おきゃく,せきゆ,まずい
おく,せっけん,まぜます
おくさま,ぜったいに,また
おくさん,せつび,まだ
おくじょう,せつめいします,またいらっしゃってください
おくに,せつめいしょ,またこんどおねがいします
おくります,ぜひ,まだまだです
おくれます,せまい,まち
おげんきですか,せわをします,まちがい
おこさん,せん,まちがえます
おこないます,せんげつ,まちます
おさきに,せんしゅう,まっすぐ
おさきにどうぞ,せんせい,まつり
おさけ,ぜんぜん,まで
おさら,せんそう,までに
おじ,せんたくします,まど
おじいさん/おじいちゃん,せんたくもの,まとめます
おしいれ,せんぬき,まにあいます
おしえます,せんぶ,まもります
おしごと,ぜんぶで,マラソン
おじさん,そう,まる
おします,ぞう,まわします
しょうがつ,そうさ,まわり
おしらせ,そうしき,まん
しろ,そうじします,まんが
すし,そうしましょう,マンション
おせわになりました,そうだんします,まんなか
おそい,そうですか,みあい
そうしき,そうですね,ミーテイング
おそく,そこ,みえます
おだいじに,そして,みがきます
おたく,そだてます,みかん
おちます,そちら,みぎ
おちゃ,そつぎょうします,ミキサー
おちゃわん,そっち,みじがい
おちゃをたてます,そと,みず
おつかれさまでした,その,みせ
おっしゃいます,そのご,みせてください
おっと,そのままにします,みせます
おつり,そふ,みたいにしてください
おてあらい,ソフト,みち
おでかけですか,そぼ,みっか
てら,そら,みつかります
おと,それ,みつけます
おとうさん,それから,みっつ
おとうと,それで,みどり
おとうとさん,それなら,みなさま
おとこのこ,それに,みなさん
おとこのひと,それはおもしろいですね,みなと
おとしだま,それまでに,みなみ
おとします,そろそろしつれいします,みまい
としより,そろばん,みます
おととい,ぞんじます,みみ
おととし,そんな,みやげ
おどります,そんなに,ミルク
おなか,タイ,みんな
おなかがいっぱいです,だい,みんなで
おなかがすきます,たいいんします,むいか
おなじ,ダイエット,むかいます
おなまえは?,たいおんけい,むかえます
おにいさん,たいかい,むかし
おねえさん,だいがく,むぎ
おねがいがあるんですが,だいがくいん,むこう
おねがいします,だいじょうぶ,むずかしい
おば,たいせつ,むすこ
おばあさん/おばあちゃん,だいたい,むすこさん
おばさん,たいてい,むすめ
おはなみ,だいとうりよう,むすめさん
おはようございます,だいどころ,むだな
おひきだしですか,ダイニングキッチン,むっつ
ふろ,たいふう,むら
べんとう,たいへんですね,むり
おぼえていません,たいよう,むりに
おぼえます,タオル,むりょう
おまごさん,たおれます,むりをします
おまたせしました,たかい,め
おまちください,たかさ,めいし
まつり,たくさん,メール
みあい,たくはいびん,メールアドレス
みまい,だけ,めがね
みやげ,たしか,メキシコ
おめでとう,たしかめます,めしあがります
おめにかかります,だします,めずらしい
おもい,ただいま,メモします
おもいだします,ただしい,もう
おもいます,たちいりきんし,もういちど
おもさ,たちます,もういっぱいいかがですか
おもしろい,たったいま,もうかえらないと…
おもちゃ,たてます,もうしこみます
おもて,たてもの,もうします
おやすみなさい,たな,もうしわけありません
ゆ,たのしい,もうすぐ
およぎます,たのしみ,もうすこし
おります,たのしみにしています,もうです
おれます,たのしみます,もえます
おろします,たのみます,もえるごみ
おわり,たばこ,もくてき
おわりましょう,たぶん,もくようび
おわります,たべます,もし
おんがく,たべもの,もしもし
おんがくか,たまご,もちます
おんせん,たまに,もちろん
おんど,だめですか,もっていきます
おんなのこ,だめ,もってきます
おんなのひと,たります,もっと
か,だれ,もどします
が,だれか,もとのところ
カーテン,だれでも,もどります
カード,たんじょうび,もの
かいがい,ダンス,もみじ
かいがん,だんだん,もらいます
かいぎ,だんぼう,もんだい
かいぎしつ,ちいさい,や
がいこく,ちいさな,やかん
かいしゃ,ちか,やきます
がいしゃ,ちかい,やきゅう
かいしゃいん,ちがいます,やくそく
かいじょう,ちかく,やくにたちます
かいだん,ちかてつ,やけど
かいちゅうでんとう,ちから,やけます
ガイド,ちきゅう,やこうバス
ガイドブック,チケット,やさい
かいます,ちず,やさしい
かいものします,ちち,やじるし
かいらん,ちゃいろ,やすい
かいわ,チャレンジします,やすみ
かえします,ちゃわん,やすみましょう
かえってきます,ちゃん,やすみます
かえます,チャンス,やせます
かえり,ちゃんと,やちん
かえります,ちゅう,やっつ
かお,ちゅういします,やっと
かがく,ちゅうがっこう,やぶれます
かがみ,ちゅうごく,やま
かかりいん,ちゅうし,やまのぼり
かかります,ちゅうしゃいはん,やみます
かぎ,ちゅうしゃじょう,やめます
かきます,ちょうし,やります
かぐ,ちょうせつします,やわらかい
がくせい,ちょうど,ゆ
かくにん,ちょうどいい,ゆうがた
かけます,ちょきんします,ゆうしょうします
かさ,ちょくせつ,ゆうびんきょく
かざります,ちょっと,ゆうべ
かし,おねがいがあるんですが,ゆうめい
かじ,ちょっとまで,ユーモア
かしこまりました,ついたち,ゆき
かしてください,ツイン,ゆしゅつします
かします,つかいます,ゆっくり
かしゅ,つかっていらっしゃるんですね,ゆにゅうします
ガス,つかれました,ゆびわ
ガスサービスセンター,つかれます,ゆめ
ガスレンジ,つき,よい
かぜ,つきに,よいます
かぞえます,つぎに,よういします
かぞく,つぎの,ようか
ガソリン,つきます,ようじ
かた,つくえ,ようしょく
かたい,つくります,ようす
かたかな,つけます,ようちえん
かたち,つごう,よかった
かたづきます,つたえます,よかったですね
かたづけます,つづきます,よかったら
カタログ,つづけます,よく
かちます,つつみます,よこ
かちょう,つとめます,よごします
がっかりします,つなみ,よごれます
がっこう,つま／かない,よしゅうします
かつしかほくさい,つまらない,よっか
カット,つめたい,よっつ
かど,つよい,よつや
かな,つり,よてい
かない,つれていきます,よていひょう
かないます,つれてきます,よびます
かなしい,て,よみかた
かならず,DVD,よみます
かなり,ていしょく,よやくします
かのじょ,データ,よる
かばん,デート,よろしくおつたえください
かびん,テーブル,よろしく
かぶき,でかけます,よわい
かぶります,てがみ,らいげつ
かべ,できます,らいしゅう
かまいません,できるだけ,らいねん
かみ,でぐち,らく
かみなり,でございます,ラジオ
かみます,デザイン,ラッシュ
ガム,ですから,りこんします
カメラ,テスト,リサイクルします
かよいます,てちょう,りゅうがくします
かようび,てつだいます,りゅうがくせい
から,テニス,リュック
からい,では,りょう
カラオケ,てぶくろ,りようします
からきました,でます,りょうしゅうしょ
ガラス,でも,りょうしん
からだ,でものみませんか,りょうり
からだにいい,てら,りょかん
かります,テレビ,りょこう
かるい,てん,りょこうしゃ
かれ,てんき,りんご
カレー,でんき,るす
カレンダー,てんきよほう,れい
かわ,てんきん,れいぞうこ
がわ,てんさい,れいぼう
かわいい,でんしじしょ,れきし
かわきます,でんしゃ,レストラン
かわります,でんち,レバー
かん,てんぷら,レモン
かんがえます,てんらんかい,れんきゅう
カンガルー,でんわ,れんしゅう
かんきり,でんわします,れんらくします
かんじ,と,ろうか
かんしゃします,ドア,ローン
かんたん,といいます,ろくおんします
かんづめ,という,ロシア
かんぱい,ドイツ,ロボット
がんばります,トイレ,ロンドン
かんりにん,どう,ろんぶん
き,どういう,わあ
きいろ,どういうふうになさいますか,ワイン
きえます,どういたしまして,わかい
きかい,どうぐ,わかします
きがつきます,どうして,わかりました
ききます,どうしましたか,わかります
きけん,どうぞ,わかりますか
きこえます,どうぞおあがりください,わかれます
きず,どうぞおげんきで,わしつ
きせつ,どうぞおしあわせに,わしょく
きそく,よろしく,わすれます
きた,とうちゃくします,わすれもの
きたない,どうでしょうか,わたくし
きちんと,どうなさいますか,わたし
きっさてん,どうぶつ,わたしたち
キッチン,どうぶつえん,わたします
きって,どうも,わたります
きっと,ありがとうございました,わらいます
きっぷ,おつかれさまでした,わりびき
きのう,どうやって,わるい
きびしい,とお,われます
きぶんがいい,とおい,こしょう
きぶんがわるい,とおか,ごぜん
きます,とおく,ごぞんじです
きみ,とおります,こたえ
きめます,とかとか,こたえます
きもち,とかい,ごちそうさま
きもちがいい,ときどき,ごちゅうもんは？
きもちがわるい,どくしん,こちら
きもの,とくに,こちらこそどうぞよろしくおねがいします
キャッシュカード,とくべつ,こちらはさんです
キャンセルします,とけい,こっかいぎじどう
キャンプ,どこ,こっち
きゅうきゅうしゃ,どこか,コップ
きゅうけいします,どこでも,こと
きゅうこう,ところ,ことし
ぎゅうどん,ところで,ことば
きゅうに,としょかん,こども
ぎゅうにく,としより,こどもたち
ぎゅうにゅう,とちゅうで,この
きゅうりょう,どちら,このあいだ
きょう,どちらさまでしょうか,このくらい
きょういく,どちらも,このごろ
きょうかい,とっきゅう,このへん
きょうし,どっち,ごはん
きょうしつ,とても,コピーします
きょうだい,とどきます,こまかい
きょうみ,とどけます,こまかいおかね
きょか,どなた,こまります
きょく,どなたでも,ごみ
きょねん,となり,ごみばこ
きらい,どの,こみます
きります,どのくらい,こめ
きりん,とまります,ごらんになります
きれい,とめます,ゴルフ
きれます,ともだち,これ
キロ,どようび,これから
きをつけます,ドライバー,これからおせわになります
きん,トラック,これでいいですか
きんいろ,ドラマ,これでおねがいします
きんえん,とり,これでおわりましょう
きんがく,とりかえます,これでよろしいでしょうか
きんかくじ,とりにく,これら
ぎんこう,とります,ころ
ぎんこういん,どれ,ごろ
きんじょ,とれます,こわい
きんちょうします,どろぼう,こわします
きんようび,どんな,こわれます
ぐあい,ナイフ,こん
くうき,なおします,こんげつ
くうこう,なおります,こんしゅう
くさります,なか,コンテスト
くすり,ながい,こんど
ください,ながさ,こんな
くださいます,なかなか,こんなに
くだもの,なきます,こんにちは
くち,なくします,こんばん
くつ,なくなります,コンビニ
くつした,なげます,こんや
くに,なさいます,こんやくします
くみたてます,なぜ,にんぎょう
くもり,なつ,ぬぎます
くもります,ななつ,ぬれます
くらい,なに,ネクタイ
ぐらい,なにか,ねこ
クラシック,なにご,ねだん
クラス,なのか,ねつ
グラム,なまえ,ねっしん
クリーニング,なみ,ねます
クリスマス,なみだ,ねむい
クリックします,ならいます,ねむります
グループ,ならびます,ねんがじょう
くるま,ならべます,ノート
くれます,なります,のこります
くろ,なれます,のしぶくろ
くろい,なん,のせます
くわしい,なんかい,のど
くん,なんかいも,のどがかわきます
げい,なんがつ,のところ
けいかん,なんさい,のひとつ
けいけん,なんじ,のほう
けいざい,なんですか,のぼります
けいさつ,なんでも,のみほうだい
けいさんします,なんにち,のみます
ケーキ,なんねん,のみもの
ケータイ,なんばん,のりかえます
ゲーム,ナンプラー,のりば
けが,なんぷん,のります
けさ,なんようび,こい
けしき,におい,こいびと
けしゴム,にがい,ごう
けします,にぎやか,こうえん
けっこんしき,にく,ごうか
けっこんします,にげます,こうがい
げつようび,にさん,ごうかくします
けど,にさんにち,こうぎ
けん,にし,こうくうびん
げんいん,にじかい,こうこう
けんがくします,にじゅうよっか,こうさてん
けんかします,にちようび,こうじょう
げんかん,について,こうちゃ
げんき,にっき,こうつう
けんきゅうしつ,にほんご,こうばん
けんきゅうします,にもつ,こえ
けんきゅうしゃ,にゅういんします,コース
げんきん,にゅうがくしけん,コート
けんこう,にゅうがくします,コーナー
ほけんしょう,ニュース,コーヒー
けんどう,にゅうりょくします,こくさい
げんりょう,によると,ここ
こ,にわ,ごご
ご,にんき,ここのか
こころ,ここのつ,こころから
ごしゅじん
